,overview,Action,Romance,Science Fiction,Thriller,War,Western
16,film adaptation last novel follow daughter troubled aristocratic family persuade break engagement young sea captain meager mean year money trouble force father rent family estate admiral throw company rich successful love,1.0,0.0,0.0,0.0,0.0,0.0
17,scientist surrealist society kidnaps child steal dream hop slow age process,1.0,1.0,0.0,0.0,0.0,0.0
18,year convict volunteer send time discover origin virus wipe earths population force survivor underground community send arrest lock mental hospital meet psychiatrist dr patient son famous virus expert may hold key mysterious rogue group army monkey think responsible unleash killer disease,1.0,0.0,1.0,0.0,0.0,0.0
19,story relationship painter author world war one england cottage countryside although platonic due strachey homosexuality relationship deep complicate one develop physical relationship able welcome friend although remain uneasy much lifestyle sexual orientation fact conscientious objector,0.0,0.0,0.0,0.0,1.0,1.0
20,identical yearolds different background orphan wealthy alyssa meet summer camp decide switch place play matchmaker alyssas dad kind social worker care amanda,1.0,1.0,0.0,0.0,0.0,0.0
21,shallow rich successful top high school peck scale see matchmaker coax two teacher date embolden success give klutzy new student tai makeover become popular realize disapprove right misguided fall,1.0,0.0,0.0,0.0,1.0,1.0
22,shakespeare transplant setting,0.0,1.0,0.0,0.0,0.0,0.0
23,depict heist old bill retire circulation destine government money burn address issue black involvement vietnam subsequent disillusionment progress social issue civil right home united,1.0,0.0,0.0,0.0,1.0,1.0
24,aspiring young physician find service king save life someone close king join king court live high life provide someone position order marry king mistress order divert queens suspicion give one order king fall love situation find love new wife king find relieve merivel position wealth fall grace leave first start travel reunion old friend rediscover love true medicine mean physician,1.0,0.0,0.0,0.0,1.0,0.0
25,nine generation evil sorcerer victorious handtohand battle mortal enemy win tenth mortal tournament desolation evil reign multiverse save three warrior overcome insurmountable odds inner demon superhuman foe actionadventure movie base one popular video game time,0.0,1.0,1.0,0.0,0.0,0.0
26,susan want work television therefore anything take mean kill husband dark comedy independent director brilliant leading role,1.0,0.0,0.0,0.0,0.0,0.0
27,soontobewed graduate student develop cold foot suspect fiancé cheat order clear head finn visit grandmother hy aunt grasse calif finn learn member group passionate quilters course visit regale tale love life woman collect rich experience much wisdom,0.0,0.0,0.0,0.0,1.0,0.0
28,two homicide detective desperate hunt serial killer whose crime base seven sin dark haunting film take viewer tortured remains one victim next seasoned det research sin effort get inside killer mind novice partner scoff effort unravel case,0.0,0.0,1.0,0.0,0.0,0.0
29,prudish woman work tenure literacy professor large urban university find strangely attract freespirited liberal woman work local carnival come town,1.0,1.0,1.0,0.0,1.0,0.0
30,held interrogation room attempt convince fed mythic crime lord exist responsible draw four partner multimillion dollar heist end explosion san pedro harbor – leave survivor lure interrogator incredible story crime lord supernatural prowess,0.0,1.0,1.0,1.0,0.0,1.0
31,detective turn bodyguard cynthia hire psychotic icy seductress woman kill lover month vendetta heart mckay accompany playful glamourous world superrich protector unique role reversal woman protect man another woman erupt triangle passion suspense action,1.0,0.0,1.0,1.0,0.0,1.0
32,wife amanda adopt baby realize son genius becomes obsess find boys biological mother hope brilliant learn mother kindhearted prostitute porn star determine reform immoral lifestyle greek chorus chime relate plot greek mythology quirky comedy,1.0,0.0,0.0,0.0,0.0,0.0
33,depressed texas town british foreign exchange teacher attempt inject life hopeless kid introduce soccer terrible first footballhero assistant whip shape work pair help kid build selfesteem get involve solve family squabble,1.0,0.0,1.0,0.0,0.0,0.0
34,lose job make exboss find daughter plan spend thanksgiving boyfriend face spend holiday family survive crazy antic,0.0,1.0,0.0,0.0,1.0,1.0
35,simple italian postman learn love poetry mail famous poet use woo local beauty beatrice,0.0,0.0,0.0,0.0,1.0,0.0
36,year quebec rachel unmarried pregnant work church fill shame unburden guilt young priest confidentiality confessional present year return quebec attend funeral meet adopt begin question identity embark quest root would lead quebec present converge complex web intrigue answer mystery lie,1.0,0.0,1.0,0.0,0.0,0.0
37,fire brimstone time grieve mother take justice hand kangaroo court los fails convict monster rap murder yearold daughter,0.0,0.0,1.0,0.0,0.0,0.0
38,obrien petty thief yearlong girlfriend roz want put end unsteady lifestyle last job involve steal valuable painting take island coast new want sell painting hop sagging relationship get positive push everything go plan,0.0,1.0,1.0,1.0,1.0,0.0
39,jobe resuscitate want create special computer chip would connect computer world one network would control use realize group teenage hacker stop plan,1.0,0.0,1.0,0.0,0.0,1.0
40,learn husband infidelity housewife invite itinerant lesbian move none life,0.0,1.0,0.0,0.0,1.0,0.0
41,gecko young brother run bloody bank robbery texas escape across border mexico homefree next morning pay local kingpin survive dusk till dawn rendezvous point turn hell strip joint,1.0,1.0,1.0,1.0,1.0,0.0
42,kirkpatrick cop protect kate civil law attorney renegade kgb team terminate,0.0,0.0,1.0,0.0,0.0,1.0
43,college graduation grovers girlfriend tell move prague study write decline accompany decide move several friend work inertia escape universitys pull nobody want make big decision would alter life none want end like chet professional student tend bar tenth year university study,0.0,1.0,0.0,0.0,1.0,0.0
44,seed love plant highpowered investment banker receive flower secret admirer fairytale fantasy clash workaholic way find hard seem love conquer,1.0,0.0,0.0,0.0,0.0,0.0
45,sirius b year distant mining planet ravage decade war scientist create perfect weapon bladewielding selfreplicating race kill device know screamer design one purpose hunt destroy enemy life form,0.0,1.0,0.0,0.0,0.0,1.0
46,daughter die hit run wait six year man responsible release prison day release visit announces kill one week booth use time try make peace entourage find romance whose life spiral obsession towards bring edge sanity end week men find collision course,0.0,0.0,0.0,0.0,0.0,0.0
47,gangster bos trial murder mob thug know tell talk fellow juror notguilty verdict imply kill son oliver fail manage become clear mobster might want silence good send try gather evidence plot set final showdown,0.0,0.0,1.0,0.0,0.0,0.0
48,film relate story connect afroamerican community call inhabitant live depend world racist oppression tell boy call spend childhood despite see life community joy sorrow live others decide leave good life remain thing come serious situation one prominent businessman muscle white competitor use racist intimidation response community make decision whether submit meekly like fight right,0.0,0.0,0.0,0.0,1.0,1.0
49,victorian wealthy patriarch invite impoverished biologist home try continue work distract seductive daughter eugenia eugenia begin torrid romance couple become young scientist begin realize dark disturb thing happen behind closed door alabaster manor,1.0,0.0,0.0,0.0,0.0,0.0
50,teenage boys discipline camaraderie illfated sailing voyage,1.0,0.0,0.0,0.0,0.0,0.0
51,public accountant arrive train union los accompany daughter ordinary look approach pair sinister people name,1.0,1.0,1.0,0.0,0.0,0.0
52,housemaid fall love dr jekyll mysterious counterpart,0.0,0.0,0.0,0.0,0.0,0.0
53,maximillian lone survivor race vampire come brooklyn search way live past next full moon ticket survival nypd detective ignore half vampire maximillian whatevers necessary put spell,1.0,0.0,1.0,1.0,0.0,0.0
54,snowy winter small fictional town knight massachusetts group hang drink struggle connect woman affect decision dream desire,1.0,1.0,0.0,0.0,0.0,0.0
55,rogue stealthfighter pilot drop radar maneuver air end two stolen nuclear warhead deakinss copilot military hope get traverse deserted canyon utah hale team park ranger put back box,1.0,0.0,0.0,0.0,0.0,0.0
56,dark hip urban story barren anonymous city underclass sport choice ramraiding exciting game stolen car drive shop window aid largescale looting police arrive business jo labour love competition grow fierce stake become high shopping trip risky,0.0,1.0,1.0,0.0,0.0,1.0
57,accidental shooting boy new lead investigation deputy mayor farreaching consequence,0.0,0.0,1.0,1.0,0.0,1.0
58,single woman find perfect man date regret deranged possessive personality emerges bad convince anyone else jekyllhyde true nature,1.0,1.0,0.0,0.0,0.0,1.0
59,liotta star medical examiner acquit wife murder many question innocence obsess find wife killer possible solution present experimental serum design neurobiology ability transfer memory one person another without consequence drive solve case inject serum bring close find killer bring close death,0.0,0.0,1.0,0.0,0.0,0.0
60,photographer wanders life housewife four day,0.0,0.0,0.0,0.0,0.0,0.0
61,tell story flint last journey young heart attack die friend attack pirate gang escape town hire boat crew find hidden treasure reveal die voyage across sea find everyone board trust,1.0,0.0,0.0,0.0,1.0,0.0
62,enrage slaughter murron new childhood love scottish warrior slay platoon local english lord soldier lead village revolt entire country rise english rule,0.0,1.0,0.0,1.0,0.0,0.0
63,keong come hong visit new uncle wed uncle run market bronx keong offer help honeymoon stay bronx keong befriend neighbor kid beat neighborhood thug cause problem market one petty thug local gang stumble criminal situation way head,0.0,1.0,0.0,1.0,0.0,0.0
64,two parent deal effect son accuse murder girlfriend,0.0,0.0,1.0,1.0,0.0,0.0
65,lucy roommate best friend whose love life dull convinces infatuate neighbor stable romance within month jump brooklyn,0.0,0.0,0.0,0.0,1.0,0.0
66,bunch high school misfit hawaii introduce new teacher attend science fair draw inspiration build solar car win trip compete world solar challenge australia,0.0,0.0,0.0,0.0,0.0,1.0
67,successful advertising executive woo bed woman company merger find new bos ravishing treat way traumatise work go,1.0,0.0,0.0,0.0,0.0,0.0
68,every day cop buy pineapple expiration date may symbolize day get lose love get eye mysterious woman blond wig oblivious fact drug dealer cop distraught heartbreak breakup ex drop spare set key local cafe waitress let apartment spruce life,0.0,1.0,0.0,1.0,1.0,1.0
69,adventure deception photographer travel small village pretend work big film studio rome,0.0,1.0,0.0,0.0,0.0,1.0
70,adopt child new father ben decide name son know birth parent determines make crosscountry quest find accompany wife nancy inept gorgeous adoption agent tina tea depart epic road trip devolve farce mistaken identity wrong turn overzealous lovestruck atf agent josh,1.0,0.0,1.0,0.0,0.0,0.0
71,pie sky american romantic comedy film young man obsess traffic gridlock fall love avantgarde dancer,0.0,0.0,0.0,0.0,0.0,0.0
72,quirky story young boy adventure grow beautiful two different men love,0.0,0.0,0.0,0.0,0.0,0.0
73,someone nasty hatchet job san big noise assistant take charge investigation blackmail prostitution involve governor old lover law man emerge prime suspect deal personal feeling case,0.0,0.0,1.0,1.0,0.0,1.0
74,balbuena genial illegal immigrant make way new take bite big apple hope find good life begin fade balbuena encounter one obstacle another hardscrabble uncaring metropolis,0.0,1.0,0.0,0.0,0.0,0.0
75,dream primetime network pursue dream nothing ambition raw talent homemade demo tape brilliant hard edge veteran newsman see talent become mentor ’ career take meteoric rise warren fall love romance result intense reveal television news break story every videotaped crisis bring threaten drive apart,1.0,0.0,0.0,0.0,0.0,0.0
76,deal life three irish catholic mcmullen new three month grapple basic idea value — love sex marriage religion family — direct write produce star,0.0,0.0,0.0,0.0,1.0,0.0
77,henpecked family man footloose fancy free lady man miami policeman hour reclaim consignment drug steal station nose complicate matter order get assistance sole witness murder pretend,0.0,1.0,1.0,1.0,0.0,1.0
78,home lush bamboo forest china tenyearold help young girl go wonderful journey rescue baby panda take poacher,0.0,0.0,0.0,0.0,1.0,0.0
79,drama film theatre company liverpool set base novel name,1.0,1.0,0.0,0.0,0.0,0.0
80,man wake alley bleed memory stumble coffee shop befriend charitable exnun fail attempt write marketable pornography,0.0,1.0,0.0,1.0,0.0,0.0
81,dark confronts duo twoface riddler district attorney twoface believe cause courtroom accident leave disfigure one side computergenius former employee millionaire get philanthropist riddler former circus acrobat family kill twoface become ward batman new partner,0.0,1.0,0.0,1.0,0.0,0.0
82,beautiful young housewife reconcile masochistic fantasy everyday life dutiful husband lovestruck friend mention secretive highclass brothel run begin work day name jour one client grow possessive try go normal life,0.0,0.0,0.0,0.0,1.0,0.0
83,arquette star american widow young doctor draw political turmoil vacation burma fictionalized drama base actual event leave sister attempt escape painful memory husband son violent death fight escape thailand could prove harrowing,0.0,1.0,1.0,0.0,0.0,0.0
84,canadian bacon fictitious film comedy american president go war bring public ’ opinion election time actor ’ last film,0.0,0.0,0.0,0.0,1.0,1.0
85,eight people embark expedition congo mysterious expanse unexplored africa human greed law nature go berserk thrillseekers ulterior motif stumble across race killer ape,1.0,1.0,1.0,1.0,0.0,0.0
86,u nuclear missile sub young first officer stag mutiny prevent trigger happy captain launch missile confirm order,1.0,0.0,0.0,0.0,0.0,1.0
87,gunslinger embroil war local drug runner,0.0,1.0,0.0,1.0,0.0,1.0
88,late los unemployed black world war ii veteran job prospect bar meet dewitt mysterious white man look someone investigate disappearance miss white woman name suspect hide one citys black jazz club money face house payment take job find head,0.0,0.0,1.0,0.0,0.0,1.0
89,new detective kick badguy butt third installment actionpacked series find team civilian prevent loss innocent life thought would see genius name engage mcclane new partner beloved city game demand concentration,0.0,1.0,1.0,0.0,0.0,0.0
90,jordan white two trouble teen pick adolescent drifter threesome embark sex violencefilled journey america psycho quickiemarts,1.0,0.0,0.0,0.0,1.0,0.0
91,timeless tale king legend camelot retell passionate period drama reluctant hand crown lancelot torn loyalty husband grow love rival balance loyalty throne reward true love,1.0,1.0,0.0,0.0,0.0,0.0
92,along new friend teenager arrest u secret ban use computer write computer virus discover plot nefarious hacker use computer skill find evidence pursue secret evil computer genius behind virus,1.0,0.0,1.0,0.0,1.0,0.0
93,jeffery young gay man new decide sex much decide become celibate meet man dream decide whether hate worth danger boyfriend dying,0.0,1.0,0.0,0.0,1.0,0.0
94,data courier carry data package inside head deliver die burden kill yakuza dystopian johnny data trafficker implant allow store data sensitive regular computer network one delivery run accept package exceed implant safety limit kill data remove time contain information important valuable imagine race time avoid assassin send kill remove data end life,1.0,0.0,1.0,1.0,0.0,0.0
95,dystopian future famous judge cop instant field judiciary power convict crime divest murderous counterpart escape,0.0,0.0,1.0,0.0,0.0,0.0
96,routine case ny private investigator stumble member fanatic cult prepare resurrection leader powerful magician kill year,0.0,1.0,1.0,1.0,0.0,0.0
97,fall new girl school funloving eccentric darkness whimsy end comprehend attempt commit suicide parent place mental institution spring young head road trip believe love cure caseys problem start wonder though inspire misguide,1.0,1.0,0.0,0.0,0.0,0.0
98,dump girlfriend two best friend seek refuge local mall,0.0,1.0,0.0,1.0,1.0,0.0
99,power six incredible teen defeat evil mighty time power may meet match face sinister monster galaxy see,0.0,0.0,1.0,0.0,1.0,1.0
100,four woman discover untapped strength within let go divide,1.0,0.0,1.0,0.0,1.0,0.0
101,mute keep become successful makeup artist russia work film direct sister boyfriend find trap studio one night horrify see snuff film make escape help sister kate alert authority saw make enemy russian mafia fund snuff film,0.0,0.0,0.0,0.0,1.0,1.0
102,ultrahip postmodern vampire tale set contemporary new member dysfunctional family vampire try come term wake father death meanwhile hunt dr hapless good vampire movie force love pit force destruction,0.0,0.0,0.0,0.0,0.0,1.0
103,freelance software engineer live world computer technology cyber friend ask debug new game become involve conspiracy turn life upside vacation mexico purse steal find people event may differ seem become target assassination vacation ruin get new passport us embassy mexico wrong name return us sort thing discover unsavory past lengthy police record make matter bad another person assume real identity,0.0,1.0,1.0,0.0,1.0,0.0
104,come earth collect soul end stalemated war former priest little girl stop,0.0,0.0,0.0,0.0,0.0,1.0
105,set puritanical boston mid story seamstress outcast become pregnant respected reverend refuse divulge name convict adultery force wear scarlet indian attack unite puritan lead reevaluation law moral,1.0,0.0,1.0,0.0,0.0,0.0
106,search receive transmission detail alien dna structure along instruction splice human dna result sensual deadly creature change beautiful woman armourplated killing machine blink eye,1.0,0.0,0.0,0.0,0.0,0.0
107,set year last day old millennium movie tell story excop deal datadiscs contain recorded memory emotion one day receive disc contain memory murderer kill prostitute investigates pull deep deep whirl blackmail murder rape survive solve case,0.0,0.0,1.0,1.0,0.0,1.0
108,simple romantic tragedy begin french auto mechanic fall love yearold geneviève employee widowed mother chic embattle umbrella shop evening leave twoyear tour combat algeria geneviève make love become pregnant choose wait guy return accept offer marriage wealthy diamond merchant,1.0,0.0,0.0,0.0,1.0,0.0
109,netherwood wife fugitive want murder young daughter name want back,0.0,0.0,1.0,0.0,0.0,0.0
110,young wild poet mentor engage fierce forbidden romance feel effect hellish artistic lifestyle,0.0,1.0,0.0,1.0,0.0,0.0
111,passenger train hijack electronics expert turn untraceable command center weapon satellite plan blow washington dc one man stop former navy seal casey ryback,1.0,0.0,0.0,0.0,0.0,1.0
112,world war ii vet fall pregnant unwed woman persuade first encounter pose husband face family,0.0,0.0,0.0,0.0,0.0,1.0
113,futuristic world polar ice cap melt make liquid planet beautiful barmaid rescue mutant seafarer float island prison escape along young charge sail aboard ship trio become target menacing pirate covet map dryland – tattoo,0.0,0.0,0.0,0.0,0.0,1.0
114,famous gunslinger early career legendary lawman telescope culminates relocation deadwood reunion,0.0,0.0,0.0,0.0,0.0,0.0
115,inept courier realise use criminal deliver money run criminal police pose scout leader lead scout group hike mountain,0.0,1.0,1.0,1.0,0.0,0.0
116,circularity violence see story circle macedonia war bosnia christian hunt ethnic girl may murder one young monk take vow silence offer protection london photographic editor pregnant need talk estranged husband choose toney restaurant,0.0,0.0,1.0,0.0,0.0,1.0
117,dialogue marathon film fairytale love story american boy french girl day night vienna two heart collide,0.0,0.0,0.0,0.0,1.0,1.0
118,jennifer teen hire babysit kid jt walsh wife tucker go party proceed get inebriate fantasize beautiful baby sitter jack boyfriend mark another guy interested decide spy jennifer tucker house young man fixate,0.0,0.0,0.0,0.0,1.0,0.0
119,inherit castle italy move wife blind daughter realize somebody else castle abused child leave die basement become castle freak wreak havoc,1.0,1.0,0.0,0.0,0.0,0.0
120,circle set ireland movie focus best friend story center around eve enter student life university dublin eve reunite childhood friend icecool college belle handsome charming fall,0.0,1.0,0.0,0.0,1.0,0.0
121,demarco man believe lover world clad cape mask demarco undergo psychiatric treatment dr cure apparent delusion psychiatric session unexpected effect psychiatric staff dr rekindle romance complacent marriage,0.0,0.0,0.0,0.0,0.0,1.0
122,computer specialist sue sexual harassment former lover turn bos initiate act threaten career personal life,1.0,0.0,0.0,0.0,0.0,0.0
123,kris homicide cop psychic ability work prove prime suspect late case much young husband millionaire victim innocent vision true plan someone know see,0.0,0.0,1.0,1.0,0.0,1.0
124,team skydive crook lead deaagentturnedbad ty moncrief busey specialize land police roof breaking evil computer nerd steal undercover agent file sell drug lord federal snipe lose brother crew learn skydive help toughbutlovable instructor track,0.0,1.0,1.0,1.0,0.0,1.0
125,political activist convince guest man torture government,0.0,1.0,0.0,0.0,0.0,1.0
126,film tell story retired widow chinese master chef chu si family living modern day taipei taiwan start film live three attractive daughter unattached film progress daughter encounter new men life new relationship blossom stereotype break living situation within family changes film feature several scene display technique artistry gourmet chinese cooking since family member difficulty express love intricate preparation banquet quality dish sunday dinner surrogate familial feeling,0.0,0.0,0.0,0.0,1.0,1.0
127,elliot go island live submissive fantasy photographs diamond smuggler work smuggler detective follow island try retrieve film begin fall love head mistress island evaluate feeling elliot motivation,0.0,0.0,0.0,0.0,0.0,1.0
128,french kiss director ’ best film since bodyguard plot involve couple love one woman ’ attempt fly paris get business trip marry way smuggle something value petty thief chase across france chase future husband,1.0,0.0,0.0,0.0,1.0,0.0
129,basketball referee travel france bury father american living paris work airline fly meet fall love relationship go many difficult patch story tell flashback friend restaurant wait arrive,0.0,0.0,0.0,0.0,1.0,1.0
130,angus adopt stray dog name several day travel along coast british father boy dog become strand turbulent water capsize boat angus parent badger rescue team school father wilderness survival skill assist intelligent try attract rescuer,1.0,0.0,0.0,0.0,0.0,0.0
131,though mean amiable cluelessness klutzy pratfall awkward adolescent son lighthearted prank highschool principal get longtime crush notice ask date trouble school convinces goofy boy need bond crosscountry fishing trip like one take dad age throw kink son plan impress,1.0,0.0,0.0,0.0,1.0,0.0
132,wife daughter regina enjoy pleasant drive car crash leave wife daughter unharmed kill ingenious doctor manage revive two lifeless hour come unchanged begin suffer horrible vision murder find vision sight serial killer,0.0,0.0,1.0,0.0,0.0,0.0
133,band reunites clayboys perform concert benefit local farmer thing take unexpected turn dog react music cry tear real pearl fortune turn disaster gumby archenemies blockhead devise elaborate scheme dognap harvest pearl blockhead initial plan fail kidnap clayboys replace clone battle clone fill train plane knight fight thrill spill true classic gumby adventure movie take viewer book toyland camelot space beyond,1.0,1.0,0.0,1.0,0.0,0.0
134,jj rookie sheriff first black officer station racial tension run high department jjs fellow officer resent presence real friend new trooper first female officer work suffer similar discrimination allwhitemale work environment jj become aware police corruption murder trial help arrest face difficult decision put grave personal danger service justice,0.0,1.0,1.0,0.0,1.0,1.0
135,life death legendary van beethoven beside work know composer famous love letter nameless beloved movie try find beloved easy many woman life,0.0,0.0,0.0,0.0,0.0,0.0
136,businessman trip tokyo end middle century old feud criminal ninja cult samurai witness assassination perform ninjacult leader,0.0,0.0,1.0,1.0,0.0,0.0
137,einstein help young man love catch attention pretend physicist,0.0,1.0,0.0,0.0,0.0,1.0
138,vampire relate epic life story love betrayal loneliness dark hunger overcurious reporter,1.0,0.0,0.0,0.0,0.0,0.0
139,wife die accept post united ambassador prerevolutionary france though find difficult adjust life country aristocracy subjugate restless peasantry paris become smitten cultured artist daughter visit virginia accompany attractive slave jefferson attention divert,1.0,1.0,0.0,0.0,1.0,0.0
140,part fertility research project male scientist agree carry pregnancy body,1.0,1.0,0.0,0.0,1.0,0.0
141,face electric chair murder young girl eight year crime call professor law help prove innocence overlooked evidence present local police uninterested killer,0.0,0.0,1.0,0.0,0.0,0.0
142,southern kid name transport medieval kingdom camelot crack ground cause earthquake learn summon need calvin save use dazzle modern invention calvin help king arthur retain crown thwart evil,1.0,0.0,0.0,0.0,0.0,0.0
143,excon living astoria new borough queen try stay clean raise family wife bev cousin cause take fall drive illegal transport stolen car police officer name injure land prison exchange early release ask help bring local crime bos name remarries attempt renew relationship child send undercover work infiltrate operation kill undercover federal agent watching unscrupulous district attorney fed complicate life take face consequence,0.0,0.0,1.0,1.0,0.0,1.0
144,princess capture hold hostage evil imperial force effort take galactic empire dash captain team loveable robot duo rd cpo rescue beautiful princess restore peace justice empire,0.0,0.0,0.0,0.0,0.0,1.0
145,chaplain civil war jo grow mother reduced circumstance close family squabble tragedy bond hold male friend start become part household,0.0,0.0,0.0,0.0,1.0,1.0
146,tita love control mother forbids marry marry sister throw cooking discovers transfer emotion food prepare infect eat intense heartbreak,1.0,0.0,0.0,0.0,1.0,1.0
147,epic tale three brother father living remote wilderness usa life affect nature history war love,0.0,0.0,0.0,0.0,1.0,1.0
148,film follow personal relationship father two son one hitman russian mafia brooklyn,1.0,0.0,0.0,1.0,0.0,0.0
149,exfootball star meet flight sydney force land small atoll become romantic board ship send take large island agree meet new three month see attraction real one show chance meeting bring,0.0,0.0,0.0,0.0,1.0,0.0
150,base novel tell story promising young doctor devastate death mother childbirth becomes obsess bring dead life experiment lead creation monster put remains corps regret action,0.0,0.0,0.0,0.0,1.0,0.0
151,unhappy mother meet man look like thing serious drive fear abandonment try anything everything ruin love bubble surround mom indian two become much closer,0.0,0.0,0.0,0.0,1.0,0.0
152,event focus around crisis hotline business one crazy night christmas holiday,0.0,1.0,0.0,0.0,1.0,1.0
153,three young boy pool money pay v kindhearted prostitute strip drive home suburb car break though mobster name v realize suburb perfect place hide thing get lot complicated fall love single father unaware real profession,1.0,0.0,0.0,0.0,0.0,1.0
154,want marriage like parent accept proposal boyfriend misgiving future fear commitment grows learn various affair family sister get married brother marry mother grow concern last single person family think marriage search balance career marriage family,0.0,1.0,0.0,0.0,1.0,0.0
155,remote woodland cabin small town doctor discovers nell beautiful young hermit woman many secret,1.0,0.0,0.0,0.0,0.0,0.0
156,base true story film follow life toshi japanese man living america work new police recommend undercover work go gang lead become friend although secondincommand suspicious newcomer able bring gang blow finish assignment,0.0,0.0,0.0,0.0,1.0,1.0
157,year since fail human lose cyborg since human enslave scientist develop new dna strain could signal end cyborg inject volunteer cyborg learn woman baby list termination,1.0,1.0,0.0,1.0,1.0,0.0
158,san star sexy comedy adultery nina husband go town several week business trip nina hook tell reporter point view interview photographer provide comic insight,1.0,0.0,0.0,0.0,0.0,0.0
159,two victim traumatized childhood become lover psychopathic serial murderer glorify mass medium,0.0,0.0,1.0,0.0,1.0,0.0
160,childhood incident convince true love guy name meet prepare settle marry foot doctor fly venice seem may able encounter man dream meet charming love believe intend someone,0.0,0.0,0.0,0.0,0.0,0.0
161,young naive college art student become obsess assume identity personality departed coed use live room cause complication result two men student art professor lust,0.0,1.0,0.0,1.0,1.0,1.0
162,airborne virus find way usa start kill people epidemic rate job stop virus spread small town quarantine prevent reaction white,1.0,0.0,1.0,0.0,0.0,0.0
163,leon top hit man new earn rep effective clean nextdoor neighbor wipe loosecannon dea agent become unwilling custodian yearold mathilda mathildas thought turn revenge consider follow leon footstep,1.0,0.0,1.0,0.0,0.0,1.0
164,midst mariel boat lift hurried exodus refugee cuba go america immigration clerk presume dissident marry united last name mutual resolve emigrate agree play along get complicate two begin fall juan reunites wife see decade,1.0,0.0,0.0,0.0,1.0,0.0
165,pastry boy son hairpiece mogul become involve arson scandal offer bribe exchange take blame fire destroy workplace real arsonist apalled someone would try take credit act love long sergio become entangled zany lovequadrangle involve write,0.0,0.0,1.0,0.0,0.0,0.0
166,burgerloving hit man philosophical partner drugaddled gangster moll washedup boxer converge sprawling comedic crime caper adventure unfurl three story trip forth time,0.0,0.0,1.0,0.0,0.0,0.0
167,greg tear call conservative catholic priest secret life homosexual gay lover frown upon church upon hear confession young girl incestuous father greg emotional spiritual struggle decide choose moral religion one life another,0.0,0.0,0.0,0.0,0.0,0.0
168,mysterious woman come compete quickdraw elimination tournament town take notorious gunman,1.0,0.0,1.0,0.0,0.0,0.0
169,red third film trilogy “ ” meaning tell strange link story packed work,0.0,0.0,0.0,0.0,1.0,1.0
170,may munro woman obsess get revenge people murder parent girl hire retired explosive expert kill parent killer embitter expartner quick assign protect one quick potential victim game cat mouse ensues,0.0,0.0,1.0,0.0,0.0,0.0
171,interstellar teleportation device find egypt lead planet human resemble ancient egyptian worship god ra,0.0,1.0,1.0,0.0,0.0,0.0
172,three friend discover new flatmate dead load cash,0.0,0.0,1.0,0.0,1.0,0.0
